source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,is_home,possessions,ppda,ppda_final_third,high_press_pct,press_regain_time_sec,press_triggers_per_match,build_up_pass_share,gk_short_build_rate,cb_split_width,pivot_involvement_pct,vertical_compactness,line_height_def,line_height_att,transition_speed_sec,width_utilization_pct,cross_rate,central_overload_rate,through_ball_rate,set_piece_xg_share,passing_network_centralization,passing_clustering_coeff,passing_asymmetry,match_outcome
statsbomb,1,43,1,2022,1,1,776,True,54,1.564102564102564,1.1627906976744187,33.94495412844037,71.29508196721312,17,2.476780185758514,33.33333333333333,75.5,16.81367144432194,17.228216053829527,32.71383647798742,49.94205253181695,86.18518518518519,36.22291021671827,0.2222222222222222,3.314814814814815,0.0,0.0,0.5087108013937283,0.398169395112392,-0.05108359133126935,D
statsbomb,1,43,1,2022,1,2,777,False,63,6.622222222222222,7.0476190476190474,14.615384615384617,93.82882882882883,16,6.235011990407674,47.05882352941176,75.42500000000001,11.23499142367067,17.946517560317307,23.087179487179487,41.033697047496794,70.0,36.21103117505996,0.047619047619047616,1.7936507936507937,0.031746031746031744,0.0,0.5421383647798742,0.3811739616604407,-0.02158273381294964,D
statsbomb,1,43,1,2022,2,4,772,False,65,1.2063492063492063,1.3548387096774193,32.58426966292135,75.94017094017094,7,0.4574565416285453,36.84210526315789,73.31250000000001,17.551150895140665,13.47595397058025,40.72222222222223,54.19817619280248,33.01538461538462,27.538883806038427,0.2,5.061538461538461,0.09230769230769231,0.0,0.7229559748427673,0.44360331109236606,0.03385178408051235,L
statsbomb,1,43,1,2022,2,3,778,True,37,8.5875,7.552631578947368,16.157205240174672,125.71084337349397,27,8.300395256916996,30.0,68.375,9.785932721712538,20.252945550217348,20.84811827956989,41.101063829787236,169.51351351351352,27.66798418972332,0.13513513513513514,2.3783783783783785,0.0,0.0,0.5981481481481481,0.4397588633074596,-0.023715415019762844,W
statsbomb,1,43,1,2022,3,6,773,False,58,4.8125,4.4,24.096385542168676,88.18181818181819,2,6.067415730337078,64.70588235294117,75.25,9.803921568627452,18.97877191866955,28.53360215053764,47.51237406920719,57.24528301886792,36.17977528089887,0.1896551724137931,1.9137931034482758,0.06896551724137931,0.0,0.5420673076923077,0.3911404555790614,-0.1146067415730337,W
statsbomb,1,43,1,2022,3,5,786,True,57,2.8615384615384616,2.5,29.78723404255319,107.03252032520325,4,5.3742802303262955,15.384615384615385,69.75,9.18149466192171,10.93325660825662,36.23423423423423,47.16749084249085,54.535714285714285,29.942418426103647,0.2631578947368421,2.1052631578947367,0.03508771929824561,0.0,0.6580392156862745,0.4124285397776848,0.09788867562380038,L
statsbomb,1,43,1,2022,4,1,776,False,61,2.8,2.1904761904761907,32.67326732673268,86.57042253521126,7,2.6573426573426575,37.5,75.5625,11.403073872087258,17.280539627696513,32.15300546448088,49.43354509217739,37.65573770491803,33.98601398601399,0.3114754098360656,2.8524590163934427,0.01639344262295082,0.0,0.6727272727272727,0.3999517810612092,-0.10909090909090909,L
statsbomb,1,43,1,2022,4,7,792,True,50,5.338709677419355,6.035714285714286,22.772277227722775,83.84415584415585,5,10.857142857142858,25.0,74.24999999999997,5.187637969094923,20.5766942298805,28.535539215686274,49.11223344556677,63.22,38.0,0.12,1.68,0.02,0.0,0.47619047619047616,0.36889465376738473,0.022857142857142857,W
statsbomb,1,43,1,2022,5,8,781,True,64,2.6769230769230767,2.0526315789473686,33.33333333333333,115.70192307692308,11,1.132686084142395,58.82352941176471,75.625,11.988795518207283,21.018951371421714,33.219202898550726,54.23815426997244,33.5625,33.17152103559871,0.25,2.15625,0.046875,0.02966236682525797,0.6088888888888889,0.3941383415956605,0.05339805825242718,W
statsbomb,1,43,1,2022,5,5,786,False,47,5.698412698412699,5.393939393939394,19.047619047619047,99.61261261261261,21,5.829596412556054,47.05882352941176,73.43750000000001,13.647851727042964,15.972511323731485,27.960884353741495,43.93339567747298,121.7872340425532,32.511210762331835,0.1702127659574468,2.723404255319149,0.0,0.0,0.472,0.4046705519541419,0.03811659192825112,L
statsbomb,1,43,1,2022,6,9,2722,True,71,4.771929824561403,4.375,24.576271186440678,66.89682539682539,11,8.60759493670886,42.10526315789473,70.5375,8.863198458574182,22.842893934876937,24.942528735632184,47.78542267050912,56.289855072463766,37.9746835443038,0.18309859154929578,1.5774647887323943,0.014084507042253521,0.0033861257035823957,0.6736318407960199,0.39967339490399456,-0.23037974683544304,D
statsbomb,1,43,1,2022,6,5,786,False,59,2.2535211267605635,2.823529411764706,24.369747899159663,90.21186440677967,13,3.544776119402985,28.57142857142857,77.225,12.458800263678313,18.76824199119812,31.65025252525253,50.41849451645065,29.35593220338983,32.276119402985074,0.3220338983050847,2.6610169491525424,0.05084745762711865,0.0,0.5703703703703704,0.42141685667706674,0.011194029850746268,D
statsbomb,1,43,1,2022,7,11,794,False,79,1.9861111111111112,1.9024390243902438,20.863309352517987,63.71875,30,3.8934426229508197,56.25,65.825,10.772833723653395,15.114631884666515,34.50151515151516,49.61614703618167,37.40506329113924,34.83606557377049,0.20253164556962025,1.9113924050632911,0.0379746835443038,0.048093205110253875,0.5511727078891258,0.4011030204068671,0.014344262295081968,W
statsbomb,1,43,1,2022,7,10,799,True,72,4.173076923076923,6.055555555555555,12.4031007751938,57.33793103448276,11,13.664596273291925,20.0,81.67500000000001,9.541511771995044,26.6301925675098,21.76712328767123,48.39731585518103,64.61111111111111,40.37267080745342,0.08333333333333333,1.2361111111111112,0.027777777777777776,0.06823567950753548,0.5487012987012987,0.3749468244501495,-0.12111801242236025,L
statsbomb,1,43,1,2022,8,13,768,False,44,1.6666666666666667,1.5161290322580645,35.13513513513514,97.57777777777778,3,1.1111111111111112,66.66666666666666,65.07500000000002,12.990602542841348,12.849690860215048,36.23655913978495,49.08625,71.79545454545455,29.841269841269842,0.18181818181818182,3.7954545454545454,0.09090909090909091,0.01982797600716316,0.5839080459770115,0.41337590833608895,0.011111111111111112,W
statsbomb,1,43,1,2022,8,12,907,True,29,3.9452054794520546,4.741935483870968,20.588235294117645,165.68235294117648,11,6.267806267806268,0.0,60.75,13.107822410147993,11.924067982456137,29.520833333333336,41.44490131578947,112.96428571428571,31.339031339031337,0.13793103448275862,3.9655172413793105,0.0,0.1506127715379612,0.6251572327044025,0.4128421918974494,0.08547008547008547,L
statsbomb,1,43,1,2022,9,15,780,False,49,2.8846153846153846,3.0,31.32530120481928,85.62105263157895,11,3.877221324717286,42.857142857142854,68.875,12.03223949337939,23.161516853932582,27.541666666666664,50.70318352059925,48.204081632653065,32.794830371567045,0.30612244897959184,3.489795918367347,0.10204081632653061,0.0,0.6131868131868132,0.405771785359082,0.04038772213247173,L
statsbomb,1,43,1,2022,9,14,791,True,54,4.734375,5.285714285714286,21.62162162162162,74.33707865168539,6,7.989690721649484,38.88888888888889,82.9375,6.653809064609451,18.763836888283798,26.43429487179487,45.19813176007867,70.70370370370371,43.29896907216495,0.12962962962962962,1.6851851851851851,0.018518518518518517,0.016958097360696457,0.5439560439560439,0.35971941629982607,0.12886597938144329,W
statsbomb,1,43,1,2022,10,16,770,False,64,1.8211382113821137,1.3043478260869565,38.607594936708864,79.09782608695652,21,2.964959568733154,53.333333333333336,83.75,10.789980732177264,4.625808301354155,39.277272727272724,43.90308102862688,78.96875,34.50134770889488,0.125,1.515625,0.09375,0.046700629747485845,0.5513888888888889,0.3795090084237879,-0.029649595687331536,D
statsbomb,1,43,1,2022,10,4,772,True,50,1.8533333333333333,1.813953488372093,31.451612903225808,77.05504587155963,19,0.7541478129713424,70.27027027027027,76.25,8.306188925081432,11.514058382582437,29.70348837209303,41.21754675467547,74.78,37.254901960784316,0.16,3.66,0.08,0.0,0.6204081632653061,0.38486233381238366,0.12518853695324283,D
statsbomb,1,43,1,2022,11,18,779,False,60,1.5833333333333333,1.16,23.863636363636363,62.05813953488372,9,0.33003300330033003,71.42857142857143,69.62500000000003,15.265401007361486,17.162609051857764,39.15705128205128,56.31966033390904,45.38333333333333,25.962596259625965,0.31666666666666665,3.9833333333333334,0.016666666666666666,0.25471780328995036,0.6705882352941176,0.4466123376577602,-0.10561056105610561,W
statsbomb,1,43,1,2022,11,17,789,True,34,18.6,23.333333333333332,10.476190476190476,197.34177215189874,9,7.71513353115727,35.714285714285715,52.062500000000014,13.101903695408733,17.483948328625235,22.577683615819208,40.06163194444444,201.02941176470588,28.486646884272997,0.08823529411764706,3.5,0.0,0.0,0.5441860465116279,0.4434432881718209,0.0712166172106825,L
