source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,player_source_id,minutes_played,touches,progressive_carries,progressive_passes,progressive_actions_per90,pass_completion_pct,dribble_success_pct,touch_quality,pressure_actions_per90,sprints_per90,tackles_won_per90,interceptions_per90,ball_recoveries_per90,xg,xa,xg_xa_per90,shot_creation_actions,final_third_entries,aerial_duel_win_pct,pressure_regains
statsbomb,1,43,1,2022,1,1,776,,97.83333333333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
statsbomb,1,43,1,2022,1,1,776,16190,95.98333333333333,142,1,23,22.50390692828616,77.58620689655173,0.0,0.014084507042253521,11.25195346414308,0.93766278867859,0.93766278867859,0.93766278867859,0.93766278867859,0.0,0.0,0.0,31,9,0.0,2
statsbomb,1,43,1,2022,1,1,776,16554,95.98333333333333,141,5,12,15.94026740753603,84.61538461538461,0.0,0.028368794326241134,6.5636395207501295,2.81298836603577,0.93766278867859,0.0,2.81298836603577,0.028684001,0.0,0.026895920368119466,24,6,0.0,1
statsbomb,1,43,1,2022,1,1,776,17042,64.98333333333333,92,3,4,9.694793536804308,71.42857142857143,0.0,0.021739130434782608,12.464734547319825,2.7699410105155167,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0.0,2
statsbomb,1,43,1,2022,1,1,776,18722,30.95,92,1,11,34.894991922455574,87.5,0.0,0.010869565217391304,8.723747980613894,2.9079159935379644,0.0,0.0,0.0,0.02872357,0.0,0.08352572859450727,12,8,0.0,0
statsbomb,1,43,1,2022,1,1,776,24443,52.983333333333334,80,3,10,22.08241585404215,78.57142857142857,0.0,0.0,6.794589493551431,1.6986473733878578,0.0,3.3972947467757155,3.3972947467757155,0.0,0.0,0.0,15,6,0.0,1
statsbomb,1,43,1,2022,1,1,776,27569,30.966666666666665,17,0,0,0.0,75.0,0.0,0.11764705882352941,11.625403659849301,0.0,0.0,0.0,2.9063509149623252,0.0,0.0,0.0,1,0,0.0,1
statsbomb,1,43,1,2022,1,1,776,3043,96.98333333333333,231,2,10,11.135934009279946,83.75,20.0,0.025974025974025976,9.279945007733287,1.8559890015466576,0.0,0.0,3.711978003093315,0.08509644,0.0,0.07896902835538752,31,6,0.0,1
statsbomb,1,43,1,2022,1,1,776,3570,88.98333333333333,216,0,25,25.285634013860275,91.8918918918919,0.0,0.009259259259259259,9.102828244989698,1.011425360554411,0.0,1.011425360554411,5.057126802772055,0.008709067,0.0,0.008808571230567521,16,10,0.0,3
statsbomb,1,43,1,2022,1,1,776,3815,94.98333333333333,58,0,19,18.003158448850677,79.3103448275862,0.0,0.0,0.0,0.0,0.0,0.0,6.6327425864186695,0.0,0.0,0.0,6,5,0.0,0
statsbomb,1,43,1,2022,1,1,776,3959,94.98333333333333,228,1,16,16.10808913844534,97.5609756097561,0.0,0.0043859649122807015,3.7901386208106684,2.842603965608001,0.0,1.8950693104053342,2.842603965608001,0.27134958,0.0,0.2571131307246885,6,4,0.0,0
statsbomb,1,43,1,2022,1,1,776,5527,44.983333333333334,88,1,10,22.008151167098926,83.87096774193549,0.0,0.0,22.008151167098926,0.0,0.0,0.0,6.002223045572434,0.0,0.0,0.0,10,5,0.0,3
statsbomb,1,43,1,2022,1,1,776,5534,62.983333333333334,149,3,20,32.865837523154276,90.9090909090909,0.0,0.0,5.715797830113787,1.4289494575284467,0.0,2.8578989150568934,4.28684837258534,0.0,0.0,0.0,6,5,0.0,1
statsbomb,1,43,1,2022,1,1,776,5732,28.95,32,1,0,3.1088082901554404,75.0,100.0,0.125,15.544041450777202,3.1088082901554404,0.0,0.0,6.217616580310881,0.735790536,0.0,2.287431718134715,4,0,0.0,0
statsbomb,1,43,1,2022,1,1,776,6302,64.95,48,1,1,2.771362586605081,90.9090909090909,0.0,0.08333333333333333,20.785219399538107,0.0,0.0,0.0,2.771362586605081,0.380551344,0.0,0.5273228785219399,6,1,0.0,1
statsbomb,1,43,1,2022,1,1,776,8247,94.96666666666667,200,6,28,32.22183222183222,79.48717948717949,0.0,0.005,11.372411372411372,7.581607581607582,0.9477009477009477,1.8954018954018954,7.581607581607582,0.02765422,0.0,0.0262079305019305,17,8,0.0,1
statsbomb,1,43,1,2022,1,2,777,,97.83333333333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
